"title","asin","brand","stars","reviewsCount","thumbnailImage","breadCrumbs","description","price","price/currency","price/value","url"
"Sunbeam Heating Pad Wrap for Back Pain Relief with Auto Shut Off and Moist Heating Option, 23 x 15"", Slate Grey","B07TC7CVCB","Sunbeam","4.5","7355","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T1/images/I/81PAbLvgkSL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads","This Sunbeam Heated Back Wrap has a unique contoured design to match the shape of your back and provide targeted heat therapy for back pain relief. The super-soft micromink electric heating pad has an adjustable waist strap that extends up to 85 inches for easy hands free use. To accelerate healing and relieve pain, the Sunbeam heating pad offers soothing high level heat therapy with 4 heat settings; 2 hour auto off lets you relax with peace of mind.",,"$","39.99","https://www.amazon.com/dp/B07TC7CVCB"
"Far Infrared Heating/Thermal Adhesive Patch（Relief for Stiff Neck, Frozen Shoulder, Wrist (CTS) and Dysmenorrhea Pain）(QPU50)","B016ZKBY8A","TherMedic","3.2","29","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T1/images/I/61zOWPXJHlL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,,,"https://www.amazon.com/dp/B016ZKBY8A"
"Pure Enrichment® PureRelief™ XL Heating Pad for Back & Neck - Heat Therapy for Muscle Pain, Cramps, and Sore Muscles in Neck, Back, and Shoulders - 4 Heat Settings with Auto Shut-Off (Gray)","B07HYBPFCG","Pure Enrichment","4.5","8680","https://images-na.ssl-images-amazon.com/images/I/91NNg8FVROL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","59.99","https://www.amazon.com/dp/B07HYBPFCG"
"Med Relief Large 12""x24"" Electric Heating Pad for Back Pain Relief, Ultra Soft Heating Pad with 10 Adjustable Heat Settings and Auto Shut-Off, Heating pad for Muscle Cramps. (Blue)","B08QYJPM4Q","Med Relief","4.2","1142","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T1/images/I/81pUer3vbgL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","29.95","https://www.amazon.com/dp/B08QYJPM4Q"
"HELLOMOTO Heating Pad for Pain Relief, Electric Heating Pad for Back Pain and Cramps -12 Heat Settings with Auto Off,12 Inch x 24 Inch, Machine Washable-OW01","B09NLLPS6D","HELLOMOTO","4.6","55","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T1/images/I/61ZdJcgO66L.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,,,"https://www.amazon.com/dp/B09NLLPS6D"
"Sunbeam Heating Pad, ConformHeat Lightly Weighted Conforming Heating Pad, 14-Inch x 14-Inch, Xpressheat Technology, 3 Temperature Settings, Beeswax/Gray, 1 Count","B082V7SY6C","Sunbeam","4.5","2163","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T2/images/I/91faHVo96mL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads","The Sunbeam Conform Heat heating pad easily flexes to curved body parts to improve contact for superior heat transfer compared to a traditional Sunbeam heating pad. This ultra-flexible, soft heating pad is lightly weighted with beads to blanket areas like the back, shoulder, neck, arm, leg, and knee with high-level heat. Plus, XpressHeat Technology allows the pad to heat up fast so you can feel the heat within 30 seconds. Conform Heat has 3 heat settings, allowing you to customize the level of heat to your preference, and it has a 2-hour auto-off function for added peace of mind. The underside of the electric heating pad is covered with super-soft microplush fabric, and the entire heat pad is machine washable for easy care.",,"$","32.46","https://www.amazon.com/dp/B082V7SY6C"
"Comfier Heating Pad for Back Pain - Heat Belly Wrap Belt with Vibration Massage, Fast Heating Pads with Auto Shut Off, for Lumbar, Abdominal, Leg Cramps Arthritic Pain Relief, Gifts for Men Dad","B07SG51VXP","COMFIER","4.3","8318","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T2/images/I/71BOS6HVrVL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","52.99","https://www.amazon.com/dp/B07SG51VXP"
"Electric Heating Pad for Back Pain and Cramps Relief 12""*24"", Heated Pad for Neck and Shoulders Full Body, 3 Heat Level, Machine Wash, Large Size - Navy Blue","B09NB5R9Q4","McJaw","3.8","66","https://images-na.ssl-images-amazon.com/images/I/81iVLMgQsBL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","28","https://www.amazon.com/dp/B09NB5R9Q4"
"Sunbeam Heating Pad for Fast Pain Relief, Large XpressHeat, 6 Heat Settings with Auto-Shutoff King Size, Navy, 12 x 24 Inch","B0B32R3BB3","Sunbeam","4.3","18","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T2/images/I/51SHsXY3LTL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,,,"https://www.amazon.com/dp/B0B32R3BB3"
"King Size Heating Pad Fast-Heating Technology for Back/Waist/Shoulder/Neck Pain and Cramps Relief - Moist and Dry Heat Therapy with Auto-Off Hot Heated Pad by GOQOTOMO PJH-King","B08HT2JPSW","GOQO TOMO","4.6","235","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T1/images/I/71A6KTFDqJL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","39.99","https://www.amazon.com/dp/B08HT2JPSW"
